,state,year,abortion_occurrences
0,Alabama,2011,10280
1,Alaska,2011,1715
2,Arizona,2011,11438
3,Arkansas,2011,4532
4,California,2011,6704
5,Colorado,2011,11210
6,Connecticut,2011,13438
7,Delaware,2011,4666
8,Florida,2011,79908
9,Georgia,2011,34585
10,Hawaii,2011,3064
11,Idaho,2011,1510
12,Illinois,2011,41859
13,Indiana,2011,10048
14,Iowa,2011,5399
15,Kansas,2011,8333
16,Kentucky,2011,3929
17,Louisiana,2011,8872
18,Maine,2011,2311
19,Maryland,2011,14627
20,Massachusetts,2011,20802
21,Michigan,2011,23307
22,Minnesota,2011,11505
23,Mississippi,2011,2297
24,Missouri,2011,6163
25,Montana,2011,2160
26,Nebraska,2011,2464
27,Nevada,2011,7787
28,New Hampshire,2011,12384
29,New Jersey,2011,28217
30,New Mexico,2011,4779
31,New York,2011,115724
32,North Carolina,2011,30952
33,North Dakota,2011,1291
34,Ohio,2011,28123
35,Oklahoma,2011,6097
36,Oregon,2011,9990
37,Pennsylvania,2011,36778
38,Rhode Island,2011,4181
39,South Carolina,2011,6464
40,South Dakota,2011,737
41,Tennessee,2011,16373
42,Texas,2011,77463
43,Utah,2011,3780
44,Vermont,2011,1333
45,Virginia,2011,25943
46,Washington,2011,21124
47,West Virginia,2011,1999
48,Wisconsin,2011,7825
49,Wyoming,2011,1034
50,Alabama,2012,9523
51,Alaska,2012,1627
52,Arizona,2012,14401
53,Arkansas,2012,4033
54,California,2012,7034
55,Colorado,2012,10474
56,Connecticut,2012,12615
57,Delaware,2012,3794
58,Florida,2012,77166
59,Georgia,2012,32770
60,Hawaii,2012,2671
61,Idaho,2012,1440
62,Illinois,2012,41324
63,Indiana,2012,9112
64,Iowa,2012,4815
65,Kansas,2012,7788
66,Kentucky,2012,3957
67,Louisiana,2012,8955
68,Maine,2012,1773
69,Maryland,2012,13287
70,Massachusetts,2012,20703
71,Michigan,2012,23366
72,Minnesota,2012,11070
73,Mississippi,2012,2224
74,Missouri,2012,5772
75,Montana,2012,2147
76,Nebraska,2012,2372
77,Nevada,2012,7206
78,New Hampshire,2012,13784
79,New Jersey,2012,26558
80,New Mexico,2012,4083
81,New York,2012,111296
82,North Carolina,2012,26192
83,North Dakota,2012,1247
84,Ohio,2012,24764
85,Oklahoma,2012,5416
86,Oregon,2012,9567
87,Pennsylvania,2012,36280
88,Rhode Island,2012,4165
89,South Carolina,2012,6379
90,South Dakota,2012,597
91,Tennessee,2012,16115
92,Texas,2012,72332
93,Utah,2012,3386
94,Vermont,2012,1355
95,Virginia,2012,25413
96,Washington,2012,20225
97,West Virginia,2012,1837
98,Wisconsin,2012,7249
99,Wyoming,2012,934
100,Alabama,2013,9076
101,Alaska,2013,1632
102,Arizona,2013,13340
103,Arkansas,2013,3782
104,California,2013,6749
105,Colorado,2013,9972
106,Connecticut,2013,11955
107,Delaware,2013,3823
108,Florida,2013,76151
109,Georgia,2013,31370
110,Hawaii,2013,2824
111,Idaho,2013,1458
112,Illinois,2013,43203
113,Indiana,2013,8808
114,Iowa,2013,4648
115,Kansas,2013,7451
116,Kentucky,2013,3810
117,Louisiana,2013,9225
118,Maine,2013,1004
119,Maryland,2013,17630
120,Massachusetts,2013,20062
