state,year,labour_force_participation,mngmt_job_wage_gap,"over 25 years \bach degree ,wage gap,k"
Alabama,2020,0.782,0.64,25.1
Alabama,2019,0.804,0.623,27.1
Alabama,2018,0.789,0.632,25.0
Alabama,2017,0.784,0.644,25.2
Alabama,2016,0.778,0.658,24.7
Alabama,2015,0.802,0.639,24.8
Alabama,2014,0.778,0.643,26.3
Alabama,2013,0.782,0.658,27.1
Alabama,2012,0.764,0.648,26.1
Alabama,2011,0.78,0.633,25.2
Alaska,2020,0.795,0.779,18.1
Alaska,2019,0.837,0.726,22.0
Alaska,2018,0.767,0.751,16.2
Alaska,2017,0.841,0.743,17.3
Alaska,2016,0.841,0.752,18.3
Alaska,2015,0.833,0.736,18.1
Alaska,2014,0.784,0.725,16.6
Alaska,2013,0.832,0.747,17.9
Alaska,2012,0.837,0.736,17.5
Alaska,2011,0.837,0.736,17.5
Arizona,2020,0.789,0.701,23.2
Arizona,2019,0.777,0.703,20.1
Arizona,2018,0.779,0.718,18.5
Arizona,2017,0.777,0.706,19.5
Arizona,2016,0.766,0.709,19.5
Arizona,2015,0.766,0.714,20.1
Arizona,2014,0.772,0.713,20.4
Arizona,2013,0.758,0.708,19.5
Arizona,2012,0.762,0.704,18.7
Arizona,2011,0.762,0.715,19.4
Arkansas,2020,0.837,0.705,20.1
Arkansas,2019,0.832,0.715,18.5
Arkansas,2018,0.831,0.707,17.7
Arkansas,2017,0.834,0.704,19.4
Arkansas,2016,0.83,0.713,18.3
Arkansas,2015,0.825,0.709,18.1
Arkansas,2014,0.824,0.713,17.5
Arkansas,2013,0.808,0.715,18.7
Arkansas,2012,0.802,0.708,18.5
Arkansas,2011,0.815,0.705,17.5
California,2020,0.764,0.734,18.6
California,2019,0.765,0.722,20.3
California,2018,0.765,0.723,17.5
California,2017,0.763,0.726,18.4
California,2016,0.757,0.731,17.4
California,2015,0.752,0.727,19.4
California,2014,0.747,0.724,18.5
California,2013,0.748,0.731,19.3
California,2012,0.747,0.729,18.5
California,2011,0.745,0.725,19.3
Colorado,2020,0.818,0.729,25.1
Colorado,2019,0.807,0.69,23.3
Colorado,2018,0.805,0.683,23.2
Colorado,2017,0.809,0.674,24.2
Colorado,2016,0.8,0.686,24.5
Colorado,2015,0.804,0.695,23.8
Colorado,2014,0.799,0.692,25.1
Colorado,2013,0.781,0.684,24.8
Colorado,2012,0.78,0.653,25.8
Colorado,2011,0.78,0.674,23.7
Connecticut,2020,0.839,0.729,24.1
Connecticut,2019,0.837,0.713,26.2
Connecticut,2018,0.845,0.716,28.4
Connecticut,2017,0.843,0.718,25.4
Connecticut,2016,0.841,0.722,26.4
Connecticut,2015,0.843,0.716,24.8
Connecticut,2014,0.839,0.724,26.8
Connecticut,2013,0.833,0.728,26.4
Connecticut,2012,0.834,0.715,25.7
Connecticut,2011,0.836,0.718,23.8
Delaware,2020,0.87,0.751,19.6
Delaware,2019,0.827,0.747,16.2
Delaware,2018,0.825,0.724,17.2
Delaware,2017,0.821,0.734,15.6
Delaware,2016,0.812,0.745,17.8
Delaware,2015,0.842,0.738,16.5
Delaware,2014,0.863,0.748,18.4
Delaware,2013,0.872,0.736,19.1
Delaware,2012,0.82,0.749,16.4
Delaware,2011,0.842,0.74,18.5
Florida,2020,0.806,0.718,17.1
Florida,2019,0.813,0.724,15.6
