state,year,life_exp_m_f,sex_ratio
Alabama,2011,0.929,93.8
Alabama,2012,0.931,94.0
Alabama,2013,0.927,94.0
Alabama,2014,0.933,93.9
Alabama,2015,0.93,93.9
Alabama,2016,0.929,94.0
Alabama,2017,0.927,93.8
Alabama,2018,0.928,94.1
Alabama,2019,0.926,93.5
Alabama,2020,0.918,93.6
Alaska,2011,0.941,106.6
Alaska,2012,0.943,108.8
Alaska,2013,0.945,110.8
Alaska,2014,0.941,109.8
Alaska,2015,0.946,111.1
Alaska,2016,0.93,111.2
Alaska,2017,0.936,109.0
Alaska,2018,0.943,108.0
Alaska,2019,0.95,108.4
Alaska,2020,0.938,109.2
Arizona,2011,0.942,99.2
Arizona,2012,0.94,99.0
Arizona,2013,0.941,99.1
Arizona,2014,0.941,98.7
Arizona,2015,0.939,98.5
Arizona,2016,0.934,98.8
Arizona,2017,0.935,98.8
Arizona,2018,0.931,98.9
Arizona,2019,0.931,99.0
Arizona,2020,0.923,98.8
Arkansas,2011,0.931,97.2
Arkansas,2012,0.935,96.6
Arkansas,2013,0.935,97.6
Arkansas,2014,0.935,96.5
Arkansas,2015,0.933,96.6
Arkansas,2016,0.935,96.7
Arkansas,2017,0.938,97.1
Arkansas,2018,0.934,96.1
Arkansas,2019,0.932,95.6
Arkansas,2020,0.928,96.4
California,2011,0.946,99.0
California,2012,0.946,98.9
California,2013,0.945,99.0
California,2014,0.945,98.6
California,2015,0.945,98.7
California,2016,0.944,98.6
California,2017,0.945,98.8
California,2018,0.943,98.9
California,2019,0.941,98.8
California,2020,0.929,98.9
Colorado,2011,0.948,100.8
Colorado,2012,0.949,100.6
Colorado,2013,0.949,100.9
Colorado,2014,0.947,101.1
Colorado,2015,0.946,100.9
Colorado,2016,0.942,101.5
Colorado,2017,0.946,101.2
Colorado,2018,0.941,101.2
Colorado,2019,0.943,101.8
Colorado,2020,0.937,101.4
Connecticut,2011,0.945,94.9
Connecticut,2012,0.944,95.1
Connecticut,2013,0.945,95.0
Connecticut,2014,0.946,95.2
Connecticut,2015,0.946,95.3
Connecticut,2016,0.942,95.3
Connecticut,2017,0.945,95.3
Connecticut,2018,0.943,95.0
Connecticut,2019,0.94,95.7
Connecticut,2020,0.93,95.2
Delaware,2011,0.947,94.2
Delaware,2012,0.947,94.1
Delaware,2013,0.941,93.7
Delaware,2014,0.94,94.3
Delaware,2015,0.938,93.9
Delaware,2016,0.937,93.6
Delaware,2017,0.926,93.8
Delaware,2018,0.93,93.7
Delaware,2019,0.927,93.4
Delaware,2020,0.93,93.6
Florida,2011,0.936,95.7
Florida,2012,0.938,95.6
Florida,2013,0.939,95.8
Florida,2014,0.937,95.6
Florida,2015,0.934,95.3
Florida,2016,0.933,95.5
Florida,2017,0.933,95.6
Florida,2018,0.934,95.5
Florida,2019,0.933,95.6
Florida,2020,0.927,95.7
Georgia,2011,0.943,96.1
Georgia,2012,0.943,95.7
Georgia,2013,0.94,95.4
Georgia,2014,0.941,95.1
Georgia,2015,0.941,95.0
Georgia,2016,0.938,94.8
Georgia,2017,0.939,94.6
Georgia,2018,0.94,94.8
Georgia,2019,0.94,94.9
Georgia,2020,0.93,94.7
