state,2019,2020
Connecticut,17.9,16.7
Maine,9.0,10.1
Massachusetts,13.6,12.2
New Hampshire,8.5,8.3
New Jersey,28.8,29.2
New York,30.2,28.8
Pennsylvania,13.1,13.6
Rhode Island,13.6,13.3
Vermont,10.4,10.7
Illinois,20.9,21.3
Indiana,5.9,6.0
Iowa,5.8,5.9
Kansas,12.0,14.5
Michigan,15.5,16.8
Minnesota,10.3,10.2
Missouri,1.3,0.1
Nebraska,5.8,5.9
North Dakota,7.5,7.8
Ohio,9.2,9.5
South Dakota,2.5,0.8
Wisconsin,6.6,6.4
Alabama,6.2,6.0
Arkansas,5.0,5.6
Delaware,11.3,10.0
District of Columbia,51.8,48.9
Florida,18.5,19.7
Georgia,18.3,18.9
Kentucky,4.3,4.8
Louisiana,8.8,8.0
Maryland,25.3,25.9
Mississippi,5.5,6.1
North Carolina,14.2,15.3
Oklahoma,11.7,12.4
South Carolina,5.1,5.3
Tennessee,7.5,8.1
Texas,9.8,9.5
Virginia,9.7,11.0
West Virginia,3.7,3.1
Alaska,9.1,8.6
Arizona,9.3,9.3
California,18.7,19.2
Colorado,10.5,11.2
Hawaii,12.1,12.1
Idaho,4.4,4.8
Montana,8.2,8.2
Nevada,16.4,17.9
New Mexico,11.2,14.7
Oregon,11.0,10.3
Utah,4.3,4.4
Washington,12.2,11.7
Wyoming,0.8,0.9
