Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
Total:,"3,697,048","544,184","4,933,670","2,237,502","28,802,124","3,956,275","2,797,581","712,172","522,871","15,316,595","7,424,198","1,089,432","1,170,976","9,812,204","4,947,915","2,351,520","2,164,628","3,362,436","3,482,769","1,063,205","4,541,628","5,244,889","7,615,737","4,101,339","2,237,257","4,618,282","785,001","1,392,723","2,094,509","1,045,696","6,837,852","1,569,690","15,309,251","7,468,071","545,530","8,884,300","2,878,536","3,038,607","10,026,082","833,330","3,642,747","629,132","4,962,026","19,078,028","1,968,099","502,122","6,331,235","5,311,983","1,471,193","4,409,648","439,802","2,817,723"
    Male:,"1,761,220","284,144","2,431,746","1,081,741","14,192,689","1,972,797","1,344,132","340,061","244,052","7,401,395","3,574,932","545,866","581,273","4,752,883","2,402,447","1,153,459","1,067,435","1,632,674","1,679,036","513,567","2,165,290","2,504,198","3,689,583","2,017,849","1,062,706","2,231,016","390,656","684,793","1,049,903","509,196","3,287,144","770,107","7,308,076","3,584,761","277,908","4,281,485","1,410,099","1,488,594","4,828,422","395,951","1,743,817","313,492","2,382,162","9,377,716","979,928","245,029","3,070,192","2,627,922","716,511","2,167,357","222,362","1,319,819"
        18 to 24 years:,"246,876","44,869","339,698","146,837","2,083,060","265,292","175,252","47,044","38,377","927,012","523,810","75,476","80,086","640,209","340,335","161,247","157,591","218,604","239,757","58,635","292,658","343,792","505,634","253,628","163,417","301,387","50,793","94,867","130,221","62,497","408,950","107,405","1,013,012","500,737","47,413","563,739","201,382","186,989","641,817","60,297","252,836","43,820","314,249","1,390,683","164,496","34,470","424,566","345,435","88,555","281,554","30,706","195,618"
            Less than 9th grade,"5,711",254,"8,174","2,808","44,851","3,055","2,941","1,231",850,"24,416","13,820","1,061","1,574","12,827","6,881","2,361","2,975","3,537","8,144",448,"6,082","3,745","7,825","2,962","4,070","6,062","1,314","1,586","4,076","1,106","9,336","2,017","23,827","13,589",162,"9,942","5,910","2,209","10,739","1,114","4,242","1,042","5,731","40,496","1,017",299,"5,423","6,479",939,"4,429",537,"5,677"
"            9th to 12th grade, no diploma","45,000","6,438","61,250","23,144","307,918","41,746","21,503","8,679","5,167","152,464","95,321","6,074","11,508","91,993","60,368","17,169","21,110","33,236","45,397","7,310","36,010","40,964","74,668","32,524","32,020","40,879","7,721","11,429","27,748","5,886","48,230","21,505","126,623","83,849","4,397","84,281","31,766","25,710","81,024","7,202","44,776","7,019","39,679","239,384","23,215","3,138","50,018","54,111","12,548","35,672","4,586","24,763"
"            High school graduate, GED, or alternative","75,148","20,196","112,092","56,020","645,358","81,359","60,246","16,544","9,252","316,980","175,923","33,088","28,909","193,576","111,213","48,913","49,495","84,893","84,853","20,817","93,907","107,656","151,909","71,164","50,499","101,626","18,054","27,394","43,764","21,311","129,090","34,582","279,982","161,798","14,619","190,738","72,738","62,832","227,520","18,662","83,425","12,210","123,471","450,210","51,691","10,903","145,305","113,191","36,918","96,624","10,677","64,598"
"            Some college, no degree","98,301","15,078","126,945","52,057","856,499","106,587","66,377","16,537","14,632","312,668","195,366","27,065","31,623","248,267","128,619","66,074","65,409","77,894","82,111","23,072","113,995","139,041","216,581","109,787","62,182","119,217","19,057","39,024","44,062","24,929","162,319","42,221","398,600","186,571","21,283","217,458","72,307","76,376","236,686","23,702","96,246","18,393","113,906","533,233","73,400","16,202","169,401","122,828","30,853","109,756","11,421","81,602"
            Associate's degree,"8,084","1,488","11,237","4,532","82,921","9,706","4,365",933,392,"64,780","13,908","3,515","3,308","33,492","11,085","13,032","8,053","7,248","5,570","2,282","12,174","8,920","20,863","12,980","8,080","13,206","1,663","6,759","5,515","3,158","16,303","3,155","56,848","18,121","4,004","20,097","6,136","7,906","25,271","3,751","10,295","2,051","10,186","47,488","9,137","1,204","15,447","22,201","2,722","14,245","1,546","10,757"
            Bachelor's degree,"13,527","1,376","18,894","7,658","135,366","21,624","18,090","3,031","7,404","51,090","28,133","4,291","2,889","56,662","20,918","13,056","9,920","10,921","12,927","4,462","28,589","39,370","31,544","22,900","6,479","18,461","2,699","8,230","4,827","5,962","41,040","3,818","116,380","34,129","2,948","39,159","11,472","11,102","58,115","5,175","13,174","2,942","20,219","73,282","5,420","2,628","36,511","24,352","4,284","19,816","1,939","7,604"
            Graduate or professional degree,"1,105",39,"1,106",618,"10,147","1,215","1,730",89,680,"4,614","1,339",382,275,"3,392","1,251",642,629,875,755,244,"1,901","4,096","2,244","1,311",87,"1,936",285,445,229,145,"2,632",107,"10,752","2,680",0,"2,064","1,053",854,"2,462",691,678,163,"1,057","6,590",616,96,"2,461","2,273",291,"1,012",0,617
        25 to 34 years:,"293,867","56,273","450,676","188,571","2,813,127","394,135","216,376","56,758","64,766","1,198,476","668,347","105,923","108,128","894,592","416,719","198,168","196,443","281,466","321,076","73,168","394,887","439,155","587,006","373,975","181,436","394,375","63,504","127,116","201,672","74,898","565,950","140,890","1,364,645","622,518","52,027","713,044","263,965","270,451","793,197","64,035","293,090","57,497","417,823","1,901,390","226,257","35,184","573,795","494,444","110,182","373,998","42,479","221,412"
