state_name,val,sex_name,year_id,
Alabama                 ,70.1,Male,2020.0,
Alabama                 ,76.4,Female,2020.0,
Alaska                   ,74.3,Male,2020.0,
Alaska                   ,79.2,Female,2020.0,
Arizona                 ,73.4,Male,2020.0,
Arizona                 ,79.5,Female,2020.0,
Arkansas                ,71.1,Male,2020.0,
Arkansas                ,76.6,Female,2020.0,
California                ,76.2,Male,2020.0,
California                ,82.0,Female,2020.0,
Colorado                 ,75.8,Male,2020.0,
Colorado                 ,80.9,Female,2020.0,
Connecticut              ,75.6,Male,2020.0,
Connecticut              ,81.3,Female,2020.0,
Delaware                ,73.9,Male,2020.0,
Delaware                ,79.5,Female,2020.0,
District of Columbia        ,71.7,Male,2020.0,
District of Columbia        ,78.7,Female,2020.0,
Florida                  ,74.6,Male,2020.0,
Florida                  ,80.5,Female,2020.0,
Georgia                  ,72.8,Male,2020.0,
Georgia                  ,78.3,Female,2020.0,
Hawaii,77.6,Male,2020.0,
Hawaii,83.8,Female,2020.0,
Idaho                   ,76.1,Male,2020.0,
Idaho                   ,80.8,Female,2020.0,
Illinois                  ,73.8,Male,2020.0,
Illinois                  ,79.8,Female,2020.0,
Indiana                  ,72.3,Male,2020.0,
Indiana                  ,77.9,Female,2020.0,
Iowa                    ,74.9,Male,2020.0,
Iowa                    ,80.1,Female,2020.0,
Kansas                  ,73.8,Male,2020.0,
Kansas                  ,79.2,Female,2020.0,
Kentucky                ,70.6,Male,2020.0,
Kentucky                ,76.5,Female,2020.0,
Louisiana                ,69.9,Male,2020.0,
Louisiana                ,76.4,Female,2020.0,
Maine                   ,74.9,Male,2020.0,
Maine                   ,80.7,Female,2020.0,
Maryland                ,73.8,Male,2020.0,
Maryland                ,79.7,Female,2020.0,
Massachusetts            ,76.4,Male,2020.0,
Massachusetts            ,81.5,Female,2020.0,
Michigan                ,73.4,Male,2020.0,
Michigan                ,78.8,Female,2020.0,
Minnesota,76.8,Male,2020.0,
Minnesota,81.4,Female,2020.0,
Mississippi              ,68.6,Male,2020.0,
Mississippi              ,75.2,Female,2020.0,
Missouri                ,72.1,Male,2020.0,
Missouri                ,78.1,Female,2020.0,
Montana                ,74.2,Male,2020.0,
Montana                ,79.6,Female,2020.0,
Nebraska                ,75.2,Male,2020.0,
Nebraska                ,80.3,Female,2020.0,
Nevada                  ,73.5,Male,2020.0,
Nevada                  ,79.2,Female,2020.0,
New Hampshire           ,76.5,Male,2020.0,
New Hampshire           ,81.5,Female,2020.0,
New Jersey               ,74.6,Male,2020.0,
New Jersey               ,80.5,Female,2020.0,
New Mexico              ,71.3,Male,2020.0,
New Mexico              ,77.8,Female,2020.0,
New York                ,74.8,Male,2020.0,
New York                ,80.7,Female,2020.0,
North Carolina            ,73.3,Male,2020.0,
North Carolina            ,79.0,Female,2020.0,
North Dakota             ,74.2,Male,2020.0,
North Dakota             ,80.0,Female,2020.0,
Ohio                    ,72.5,Male,2020.0,
Ohio                    ,78.1,Female,2020.0,
Oklahoma               ,71.5,Male,2020.0,
Oklahoma               ,76.9,Female,2020.0,
Oregon                  ,76.3,Male,2020.0,
Oregon                  ,81.3,Female,2020.0,
Pennsylvania             ,74.0,Male,2020.0,
Pennsylvania             ,79.6,Female,2020.0,
Rhode Island             ,75.5,Male,2020.0,
Rhode Island             ,80.9,Female,2020.0,
South Carolina            ,71.7,Male,2020.0,
South Carolina            ,78.0,Female,2020.0,
South Dakota             ,74.2,Male,2020.0,
South Dakota             ,79.4,Female,2020.0,
Tennessee               ,70.7,Male,2020.0,
Tennessee               ,77.0,Female,2020.0,
Texas                   ,73.7,Male,2020.0,
Texas                   ,79.3,Female,2020.0,
United States             ,74.2,Male,2020.0,
United States             ,79.9,Female,2020.0,
Utah                    ,76.7,Male,2020.0,
Utah                    ,80.6,Female,2020.0,
Vermont                 ,76.1,Male,2020.0,
Vermont                 ,81.4,Female,2020.0,
Virginia                 ,75.1,Male,2020.0,
Virginia                 ,80.1,Female,2020.0,
Washington,76.9,Male,2020.0,
Washington,81.6,Female,2020.0,
West Virginia             ,69.8,Male,2020.0,
West Virginia             ,76.1,Female,2020.0,
Wisconsin               ,75.2,Male,2020.0,
Wisconsin               ,80.3,Female,2020.0,
Wyoming                ,74.0,Male,2020.0,
Wyoming                ,78.9,Female,2020.0,
