ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
22c,2013,Jan,,Brewer,Republican,"Statewide Executive",Governor,"Arizona - AZ",,White
14982c,2013,Sue,,Ellspermann,Republican,"Statewide Executive","Lt. Governor","Indiana - IN",,White
209688k,2013,Mary,,Fallin,Republican,"Statewide Executive",Governor,"Oklahoma - OK",,White
282881k,2013,Kimberly,M.,Guadagno,Republican,"Statewide Executive","Lt. Governor","New Jersey - NJ",,White
227511k,2013,Nikki,R.,Haley,Republican,"Statewide Executive",Governor,"South Carolina - SC",,"Asian American/Pacific Islander"
227982k,2013,Maggie,,Hassan,Democrat,"Statewide Executive",Governor,"New Hampshire - NH",,White
240306k,2013,Kay,E.,Ivey,Republican,"Statewide Executive","Lt. Governor","Alabama - AL",,White
327236k,2013,Rebecca,,Kleefisch,Republican,"Statewide Executive","Lt. Governor","Wisconsin - WI",,White
289086k,2013,Susana,,Martinez,Republican,"Statewide Executive",Governor,"New Mexico - NM",,Latina
271917k,2013,Kimberly,,Reynolds,Republican,"Statewide Executive","Lt. Governor","Iowa - IA",,White
5835c,2013,Elizabeth,H.,Roberts,Democrat,"Statewide Executive","Lt. Governor","Rhode Island - RI",,White
15796c,2013,Sheila,,Simon,Democrat,"Statewide Executive","Lt. Governor","Illinois - IL",,White
10024c,2013,Yvonne,Prettner,Solon,Democrat,"Statewide Executive","Lt. Governor","Minnesota - MN",,White
212485k,2013,Mary,,Taylor,Republican,"Statewide Executive","Lt. Governor","Ohio - OH",,White
240338k,2013,Nancy,,Wyman,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
