0,﻿State,"State Rank",Senate,"Total Women/Total Senate",House,"Total Women/Total House","Total Women/Total Legis.","%Women Overall"
1,AL,47,"4D, 0R",4/35,"11D, 7R",18/105,22/140,15.7
2,AK,10,"1D, 5R",6/20,"6D, 10R",16/40,22/60,36.7
3,AZ,7,"7D, 6R",13/30,"14D, 8R",22/60,35/90,38.9
4,AR,33,"3D, 4R",7/35,"10D, 18R",28/100,35/135,25.9
5,AS,n/a,"0D, 0R, 1Ind",1/18,"0D, 0R, 1Ind",1/21,2/39,5.1
6,CA*,20,"10D, 4R",14/40,"21D, 2R",23/80,37/120,30.8
7,CO,2,"11D, 1R",12/35,"26D, 6R",32/65,44/100,44.0
8,CT,16,"8D, 1R",9/36,"29D, 22R",51/151,60/187,32.1
9,DC,n/a,"4D, 1Ind",5/13,"0D, 0R,",unicameral,5/13,38.5
10,DE,41,"4D, 1R",4/13,"9D, 1R",10/41,15/62,24.2
11,FL,24,"6D, 6R",12/40,"22D, 13R",35/120,47/160,29.4
12,GA,23,"13D, 2R",15/56,"41D, 15R",56/180,71/236,30.1
13,GU,n/a,"7D, 3R",10/15,"0D, 0R",unicameral,10/15,66.7
14,HI,15,"8D, 0R",8/25,"14D, 3R",17/51,25/76,32.9
15,ID,19,"4D, 5R",9/35,"8D, 16R",24/70,33/105,31.4
16,IL*,10,"20D, 2R",22/59,"36D, 7R",43/118,65/177,36.7
17,IN*,35,"2D, 8R",10/50,"17D, 11R",28/100,38/150,25.3
18,IA,25,"6D, 5R",11/50,"23D, 10R",33/100,44/150,29.3
19,KS,26,"6D, 7R",13/40,"19D, 16R",35/125,48/165,29.1
20,KY,39,"3D, 2R",5/38,"19D, 10R",29/105,34/138,24.6
21,LA,44,"3D, 3R",6/39,"8D, 12R",20/105,26/144,18.1
22,ME,8,"8D, 4R",12/35,"47D, 11R",58/151,70/186,37.6
23,MD,6,"13D, 2R",15/47,"53D, 8R",61/141,76/188,40.4
24,MA,27,"12D, 0R",12/40,"39D, 6R, 1Ind",46/160,58/200,29.0
25,MI,13,"8D, 3R",11/38,"26D, 17R",43/110,54/148,36.5
26,MN,17,"10D, 6R",16/67,"35D, 13R",48/134,64/201,31.8
27,MS,46,"4D, 7R",11/52,"9D, 7R, 1Ind",17/122,28/174,16.1
28,MO,40,"5D, 3R",8/34,"20D, 20R",40/163,48/197,24.4
29,MP,n/a,"0D, 1R,",1/9,"0D, 1R, 2Ind",3/20,4/29,13.8
30,MT,22,"11D, 2R",13/50,"22D, 11R",33/100,46/150,30.7
31,NE*,28,"0D, 0R, 14Ind",14/49,"0D, 0R, 0Ind",unicameral,14/49,28.6
32,NV,1,"9D, 1R",10/21,"19D, 5R",24/42,34/63,54.0
33,NH,14,"7D, 3R",10/24,"109D, 25R",134/400,144/424,34.0
34,NJ*,20,"9D, 1R",10/40,"20D, 7R",27/80,37/120,30.8
35,NM,12,"7D, 2R",9/42,"25D, 7R",32/70,41/112,36.6
36,NY,18,"14D, 5R",19/63,"44D, 4R",48/150,67/213,31.5
37,NC*,35,"7D, 4R",11/50,"23D, 9R",32/120,43/170,25.3
38,ND,42,"4D, 7R",11/47,"8D, 12R",20/94,31/141,22.0
39,OH,30,"4D, 4R",8/33,"19D, 9R",28/99,36/132,27.3
40,OK,43,"5D, 4R",9/48,"11D, 12R",23/101,32/149,21.5
41,OR,3,"7D, 2R",9/30,"23D, 7R",30/60,39/90,43.3
42,PA,31,"7D, 6R",13/50,"31D, 24R",55/203,68/253,26.9
43,PR,n/a,"0D, 0R, 8Ind",8/30,"0D, 0R, 7Ind",7/51,15/81,18.5
44,RI,9,"14D, 2R",16/38,"25D, 1R",26/75,42/113,37.2
45,SC,45,"2D, 2R",4/46,"13D, 12R",25/124,29/170,17.1
46,SD,38,"2D, 5R",7/35,"4D, 15R",19/70,26/105,24.8
47,TN,49,"4D, 4R",8/33,"4D, 8R",12/99,20/132,15.2
48,TX,37,"4D, 6R",10/31,"29D, 6R",35/150,45/181,24.9
49,UT,32,"4D, 2R",6/29,"12D, 9R",21/75,27/104,26.0
50,VI,n/a,"3D, 0R, 1Ind",4/15,"0D, 0R, 0Ind",unicameral,4/15,26.7
51,VT,5,"10D, 0R",10/30,"42D, 14R, 7Ind",63/150,73/180,40.6
52,VA*,28,"7D, 4R",11/40,"23D, 6R",29/100,40/140,28.6
53,WA,4,"13D, 7R",20/49,"30D, 10R",40/98,60/147,40.8
54,WV,50,"0D, 3R",3/34,"8D, 8R",16/100,19/134,14.2
55,WI,33,"5D, 2R",7/33,"17D, 10R",27/99,34/132,25.8
56,WY,48,"1D, 5R",6/30  ,"4D, 4R",8/60,14/90    ,15.6
