state,proportion of women,year,Position_Governor,Position_Lt. Governor
AL,0.157,2020,1.0,0.0
AK,0.367,2020,0.0,0.0
AZ,0.389,2020,0.0,0.0
AR,0.259,2020,0.0,0.0
CA,0.308,2020,0.0,1.0
CO,0.44,2020,0.0,1.0
CT,0.321,2020,0.0,1.0
DE,0.242,2020,0.0,1.0
FL,0.294,2020,0.0,1.0
GA,0.301,2020,0.0,0.0
HI,0.329,2020,0.0,0.0
ID,0.314,2020,0.0,1.0
IL,0.367,2020,0.0,1.0
IN,0.253,2020,0.0,1.0
IA,0.293,2020,1.0,0.0
KS,0.291,2020,1.0,0.0
KY,0.246,2020,0.0,1.0
LA,0.181,2020,0.0,0.0
ME,0.376,2020,1.0,0.0
MD,0.404,2020,0.0,0.0
MA,0.29,2020,0.0,1.0
MI,0.365,2020,1.0,0.0
MN,0.318,2020,0.0,1.0
MS,0.161,2020,0.0,0.0
MO,0.244,2020,0.0,0.0
MT,0.307,2020,0.0,0.0
NE,0.286,2020,0.0,0.0
NV,0.54,2020,0.0,1.0
NH,0.34,2020,0.0,0.0
NJ,0.308,2020,0.0,1.0
NM,0.366,2020,1.0,0.0
NY,0.315,2020,0.0,1.0
NC,0.253,2020,0.0,0.0
ND,0.22,2020,0.0,0.0
OH,0.273,2020,0.0,0.0
OK,0.215,2020,0.0,0.0
OR,0.433,2020,1.0,0.0
PA,0.269,2020,0.0,0.0
RI,0.372,2020,1.0,0.0
SC,0.171,2020,0.0,1.0
SD,0.248,2020,1.0,0.0
TN,0.152,2020,0.0,0.0
TX,0.249,2020,0.0,0.0
UT,0.26,2020,0.0,0.0
VT,0.406,2020,0.0,0.0
VA,0.286,2020,0.0,0.0
WA,0.408,2020,0.0,0.0
WV,0.142,2020,0.0,0.0
WI,0.258,2020,0.0,0.0
WY,0.156,2020,0.0,0.0
AL,0.164,2019,1.0,0.0
AK,0.383,2019,0.0,0.0
AZ,0.389,2019,0.0,0.0
AR,0.244,2019,0.0,0.0
CA,0.317,2019,0.0,1.0
CO,0.46,2019,0.0,1.0
CT,0.321,2019,0.0,1.0
DE,0.242,2019,0.0,1.0
FL,0.3,2019,0.0,1.0
GA,0.305,2019,0.0,0.0
HI,0.316,2019,0.0,0.0
ID,0.324,2019,0.0,1.0
IL,0.362,2019,0.0,1.0
IN,0.253,2019,0.0,1.0
IA,0.293,2019,1.0,0.0
KS,0.279,2019,1.0,0.0
KY,0.232,2019,0.0,1.0
LA,0.153,2019,0.0,0.0
ME,0.376,2019,1.0,0.0
MD,0.383,2019,0.0,0.0
MA,0.285,2019,0.0,1.0
MI,0.358,2019,1.0,0.0
MN,0.313,2019,0.0,1.0
MS,0.138,2019,0.0,0.0
MO,0.239,2019,0.0,0.0
MT,0.307,2019,0.0,0.0
NE,0.286,2019,0.0,0.0
NV,0.524,2019,0.0,1.0
NH,0.342,2019,0.0,0.0
NJ,0.317,2019,0.0,1.0
NM,0.357,2019,1.0,0.0
NY,0.324,2019,0.0,1.0
NC,0.253,2019,0.0,0.0
ND,0.22,2019,0.0,0.0
OH,0.273,2019,0.0,0.0
OK,0.215,2019,0.0,0.0
OR,0.422,2019,1.0,0.0
PA,0.261,2019,0.0,0.0
RI,0.372,2019,1.0,0.0
SC,0.165,2019,0.0,1.0
SD,0.229,2019,1.0,0.0
TN,0.152,2019,0.0,0.0
TX,0.232,2019,0.0,0.0
UT,0.25,2019,0.0,0.0
VT,0.4,2019,0.0,0.0
VA,0.264,2019,0.0,0.0
WA,0.401,2019,0.0,0.0
WV,0.134,2019,0.0,0.0
WI,0.273,2019,0.0,0.0
WY,0.156,2019,0.0,0.0
AL,0.15,2018,1.0,0.0
AK,0.317,2018,0.0,1.0
AZ,0.4,2018,0.0,0.0
AR,0.193,2018,0.0,0.0
CA,0.258,2018,0.0,0.0
CO,0.38,2018,0.0,1.0
CT,0.273,2018,0.0,1.0
DE,0.21,2018,0.0,1.0
FL,0.256,2018,0.0,0.0
GA,0.267,2018,0.0,0.0
HI,0.289,2018,0.0,0.0
ID,0.314,2018,0.0,0.0
IL,0.35,2018,0.0,1.0
IN,0.2,2018,0.0,1.0
IA,0.233,2018,1.0,0.0
KS,0.285,2018,0.0,0.0
KY,0.167,2018,0.0,1.0
LA,0.153,2018,0.0,0.0
ME,0.339,2018,0.0,0.0
MD,0.335,2018,0.0,0.0
MA,0.245,2018,0.0,1.0
MI,0.25,2018,0.0,0.0
MN,0.318,2018,0.0,1.0
MS,0.144,2018,0.0,0.0
MO,0.228,2018,0.0,0.0
MT,0.28,2018,0.0,0.0
NE,0.265,2018,0.0,0.0
NV,0.397,2018,0.0,0.0
NH,0.288,2018,0.0,0.0
NJ,0.308,2018,0.0,1.0
NM,0.304,2018,1.0,0.0
NY,0.282,2018,0.0,1.0
NC,0.247,2018,0.0,0.0
ND,0.184,2018,0.0,0.0
OH,0.22,2018,0.0,1.0
OK,0.128,2018,1.0,0.0
OR,0.333,2018,1.0,0.0
PA,0.194,2018,0.0,0.0
RI,0.319,2018,1.0,0.0
SC,0.159,2018,0.0,0.0
SD,0.21,2018,0.0,0.0
TN,0.159,2018,0.0,0.0
TX,0.199,2018,0.0,0.0
UT,0.202,2018,0.0,0.0
VT,0.394,2018,0.0,0.0
VA,0.271,2018,0.0,0.0
WA,0.374,2018,0.0,0.0
WV,0.149,2018,0.0,0.0
WI,0.242,2018,0.0,1.0
WY,0.111,2018,0.0,0.0
AL,0.143,2015,0.0,1.0
AK,0.283,2015,0.0,0.0
AZ,0.367,2015,0.0,0.0
AR,0.2,2015,0.0,0.0
CA,0.258,2015,0.0,0.0
CO,0.42,2015,0.0,0.0
CT,0.283,2015,0.0,1.0
DE,0.242,2015,0.0,0.0
FL,0.25,2015,0.0,0.0
GA,0.237,2015,0.0,0.0
HI,0.289,2015,0.0,0.0
ID,0.286,2015,0.0,0.0
IL,0.328,2015,0.0,1.0
IN,0.207,2015,0.0,1.0
IA,0.227,2015,0.0,1.0
KS,0.242,2015,0.0,0.0
KY,0.167,2015,0.0,1.0
LA,0.118,2015,0.0,0.0
ME,0.29,2015,0.0,0.0
MD,0.319,2015,0.0,0.0
MA,0.25,2015,0.0,1.0
MI,0.203,2015,0.0,0.0
MN,0.333,2015,0.0,1.0
MS,0.167,2015,0.0,0.0
MO,0.249,2015,0.0,0.0
MT,0.313,2015,0.0,1.0
NE,0.224,2015,0.0,0.0
NV,0.317,2015,0.0,0.0
NH,0.29,2015,1.0,0.0
NJ,0.308,2015,0.0,1.0
NM,0.268,2015,1.0,0.0
NY,0.254,2015,0.0,1.0
NC,0.224,2015,0.0,0.0
ND,0.191,2015,0.0,0.0
OH,0.25,2015,0.0,1.0
OK,0.141,2015,1.0,0.0
OR,0.311,2015,1.0,0.0
PA,0.186,2015,0.0,0.0
RI,0.274,2015,1.0,0.0
SC,0.141,2015,1.0,0.0
SD,0.21,2015,0.0,0.0
TN,0.174,2015,0.0,0.0
TX,0.199,2015,0.0,0.0
UT,0.154,2015,0.0,0.0
VT,0.411,2015,0.0,0.0
VA,0.171,2015,0.0,0.0
WA,0.34,2015,0.0,0.0
WV,0.149,2015,0.0,0.0
WI,0.258,2015,0.0,1.0
WY,0.133,2015,0.0,0.0
AL,0.143,2016,0.0,1.0
AK,0.283,2016,0.0,0.0
AZ,0.356,2016,0.0,0.0
AR,0.193,2016,0.0,0.0
CA,0.25,2016,0.0,0.0
CO,0.42,2016,0.0,1.0
CT,0.273,2016,0.0,1.0
DE,0.242,2016,0.0,0.0
FL,0.25,2016,0.0,0.0
GA,0.242,2016,0.0,0.0
HI,0.289,2016,0.0,0.0
ID,0.286,2016,0.0,0.0
IL,0.328,2016,0.0,1.0
IN,0.207,2016,0.0,0.0
IA,0.227,2016,0.0,1.0
KS,0.242,2016,0.0,0.0
KY,0.159,2016,0.0,1.0
LA,0.16,2016,0.0,0.0
ME,0.29,2016,0.0,0.0
MD,0.314,2016,0.0,0.0
MA,0.25,2016,0.0,1.0
MI,0.196,2016,0.0,0.0
MN,0.333,2016,0.0,1.0
MS,0.138,2016,0.0,0.0
MO,0.249,2016,0.0,0.0
MT,0.313,2016,0.0,0.0
NE,0.224,2016,0.0,0.0
NV,0.317,2016,0.0,0.0
NH,0.285,2016,1.0,0.0
NJ,0.3,2016,0.0,1.0
NM,0.268,2016,1.0,0.0
NY,0.254,2016,0.0,1.0
NC,0.218,2016,0.0,0.0
ND,0.191,2016,0.0,0.0
OH,0.242,2016,0.0,1.0
OK,0.141,2016,1.0,0.0
OR,0.311,2016,1.0,0.0
PA,0.186,2016,0.0,0.0
RI,0.274,2016,1.0,0.0
SC,0.141,2016,1.0,0.0
SD,0.21,2016,0.0,0.0
TN,0.167,2016,0.0,0.0
TX,0.199,2016,0.0,0.0
UT,0.154,2016,0.0,0.0
VT,0.411,2016,0.0,0.0
VA,0.193,2016,0.0,0.0
WA,0.333,2016,0.0,0.0
WV,0.149,2016,0.0,0.0
WI,0.258,2016,0.0,1.0
WY,0.133,2016,0.0,0.0
AL,0.15,2017,1.0,0.0
AK,0.3,2017,0.0,0.0
AZ,0.4,2017,0.0,0.0
AR,0.185,2017,0.0,0.0
CA,0.225,2017,0.0,0.0
CO,0.37,2017,0.0,1.0
CT,0.278,2017,0.0,1.0
DE,0.21,2017,0.0,1.0
FL,0.25,2017,0.0,0.0
GA,0.271,2017,0.0,0.0
HI,0.276,2017,0.0,0.0
ID,0.314,2017,0.0,0.0
IL,0.35,2017,0.0,1.0
IN,0.2,2017,0.0,1.0
IA,0.227,2017,1.0,0.0
KS,0.285,2017,0.0,0.0
KY,0.167,2017,0.0,1.0
LA,0.153,2017,0.0,0.0
ME,0.339,2017,0.0,0.0
MD,0.319,2017,0.0,0.0
MA,0.255,2017,0.0,1.0
MI,0.25,2017,0.0,0.0
MN,0.323,2017,0.0,1.0
MS,0.149,2017,0.0,0.0
MO,0.223,2017,0.0,0.0
MT,0.287,2017,0.0,0.0
NE,0.265,2017,0.0,0.0
NV,0.397,2017,0.0,0.0
NH,0.297,2017,0.0,0.0
NJ,0.308,2017,0.0,1.0
NM,0.304,2017,1.0,0.0
NY,0.277,2017,0.0,1.0
NC,0.253,2017,0.0,0.0
ND,0.184,2017,0.0,0.0
OH,0.22,2017,0.0,1.0
OK,0.134,2017,1.0,0.0
OR,0.333,2017,1.0,0.0
PA,0.186,2017,0.0,0.0
RI,0.31,2017,1.0,0.0
SC,0.141,2017,0.0,0.0
SD,0.2,2017,0.0,0.0
TN,0.159,2017,0.0,0.0
TX,0.204,2017,0.0,0.0
UT,0.202,2017,0.0,0.0
VT,0.4,2017,0.0,0.0
