state,proportion of women,year
AL,0.143,2015
AK,0.283,2015
AZ,0.367,2015
AR,0.2,2015
CA,0.258,2015
CO,0.42,2015
CT,0.283,2015
DE,0.242,2015
FL,0.25,2015
GA,0.237,2015
HI,0.289,2015
ID,0.286,2015
IL,0.328,2015
IN,0.207,2015
IA,0.227,2015
KS,0.242,2015
KY,0.167,2015
LA,0.118,2015
ME,0.29,2015
MD,0.319,2015
MA,0.25,2015
MI,0.203,2015
MN,0.333,2015
MS,0.167,2015
MO,0.249,2015
MT,0.313,2015
NE,0.224,2015
NV,0.317,2015
NH,0.29,2015
NJ,0.308,2015
NM,0.268,2015
NY,0.254,2015
NC,0.224,2015
ND,0.191,2015
OH,0.25,2015
OK,0.141,2015
OR,0.311,2015
PA,0.186,2015
RI,0.274,2015
SC,0.141,2015
SD,0.21,2015
TN,0.174,2015
TX,0.199,2015
UT,0.154,2015
VT,0.411,2015
VA,0.171,2015
WA,0.34,2015
WV,0.149,2015
WI,0.258,2015
WY,0.133,2015
AL,0.143,2016
AK,0.283,2016
AZ,0.356,2016
AR,0.193,2016
CA,0.25,2016
CO,0.42,2016
CT,0.273,2016
DE,0.242,2016
FL,0.25,2016
GA,0.242,2016
HI,0.289,2016
ID,0.286,2016
IL,0.328,2016
IN,0.207,2016
IA,0.227,2016
KS,0.242,2016
KY,0.159,2016
LA,0.16,2016
ME,0.29,2016
MD,0.314,2016
MA,0.25,2016
MI,0.196,2016
MN,0.333,2016
MS,0.138,2016
MO,0.249,2016
MT,0.313,2016
NE,0.224,2016
NV,0.317,2016
NH,0.285,2016
NJ,0.3,2016
NM,0.268,2016
NY,0.254,2016
NC,0.218,2016
ND,0.191,2016
OH,0.242,2016
OK,0.141,2016
OR,0.311,2016
PA,0.186,2016
RI,0.274,2016
SC,0.141,2016
SD,0.21,2016
TN,0.167,2016
TX,0.199,2016
UT,0.154,2016
VT,0.411,2016
VA,0.193,2016
WA,0.333,2016
WV,0.149,2016
WI,0.258,2016
WY,0.133,2016
AL,0.15,2017
AK,0.3,2017
AZ,0.4,2017
AR,0.185,2017
CA,0.225,2017
CO,0.37,2017
CT,0.278,2017
DE,0.21,2017
FL,0.25,2017
GA,0.271,2017
HI,0.276,2017
ID,0.314,2017
IL,0.35,2017
IN,0.2,2017
IA,0.227,2017
KS,0.285,2017
KY,0.167,2017
LA,0.153,2017
ME,0.339,2017
MD,0.319,2017
MA,0.255,2017
MI,0.25,2017
MN,0.323,2017
MS,0.149,2017
MO,0.223,2017
MT,0.287,2017
NE,0.265,2017
NV,0.397,2017
NH,0.297,2017
NJ,0.308,2017
NM,0.304,2017
NY,0.277,2017
