state,education,year
Alabama,1.18,2020
Alaska,1.014,2020
Arizona,1.112,2020
Arkansas,1.115,2020
California,1.099,2020
Colorado,1.062,2020
Connecticut,1.134,2020
Delaware,1.148,2020
Florida,1.125,2020
Georgia,1.174,2020
Hawaii,1.092,2020
Idaho,1.058,2020
Illinois,1.131,2020
Indiana,1.122,2020
Iowa,1.08,2020
Kansas,1.097,2020
Kentucky,1.116,2020
Louisiana,1.187,2020
Maine,1.145,2020
Maryland,1.158,2020
Massachusetts,1.128,2020
Michigan,1.115,2020
Minnesota,1.087,2020
Mississippi,1.205,2020
Missouri,1.122,2020
Montana,1.052,2020
Nebraska,1.112,2020
Nevada,1.076,2020
New Hampshire,1.078,2020
New Jersey,1.141,2020
New Mexico,1.12,2020
New York,1.169,2020
North Carolina,1.17,2020
North Dakota,1.071,2020
Ohio,1.127,2020
Oklahoma,1.117,2020
Oregon,1.106,2020
Pennsylvania,1.132,2020
Rhode Island,1.127,2020
South Carolina,1.17,2020
South Dakota,1.054,2020
Tennessee,1.148,2020
Texas,1.13,2020
Utah,1.063,2020
Vermont,1.121,2020
Virginia,1.114,2020
Washington,1.062,2020
West Virginia,1.09,2020
Wisconsin,1.114,2020
Wyoming,0.981,2020
Alabama,1.184,2019
Alaska,1.059,2019
Arizona,1.107,2019
Arkansas,1.128,2019
California,1.096,2019
Colorado,1.062,2019
Connecticut,1.153,2019
Delaware,1.176,2019
Florida,1.121,2019
Georgia,1.193,2019
Hawaii,1.109,2019
Idaho,1.044,2019
Illinois,1.126,2019
Indiana,1.116,2019
Iowa,1.078,2019
Kansas,1.112,2019
Kentucky,1.115,2019
Louisiana,1.185,2019
Maine,1.133,2019
Maryland,1.164,2019
Massachusetts,1.127,2019
Michigan,1.118,2019
Minnesota,1.077,2019
Mississippi,1.194,2019
Missouri,1.124,2019
Montana,1.064,2019
Nebraska,1.119,2019
Nevada,1.099,2019
New Hampshire,1.081,2019
New Jersey,1.141,2019
New Mexico,1.126,2019
New York,1.168,2019
North Carolina,1.174,2019
North Dakota,1.104,2019
Ohio,1.126,2019
Oklahoma,1.125,2019
Oregon,1.116,2019
Pennsylvania,1.128,2019
Rhode Island,1.141,2019
South Carolina,1.196,2019
South Dakota,1.05,2019
Tennessee,1.173,2019
Texas,1.121,2019
Utah,1.062,2019
Vermont,1.088,2019
Virginia,1.126,2019
Washington,1.069,2019
West Virginia,1.064,2019
Wisconsin,1.119,2019
Wyoming,0.975,2019
Alabama,1.168,2018
Alaska,0.947,2018
Arizona,1.108,2018
Arkansas,1.1,2018
California,1.103,2018
Colorado,1.067,2018
Connecticut,1.132,2018
Delaware,1.141,2018
Florida,1.124,2018
Georgia,1.174,2018
Hawaii,1.113,2018
Idaho,1.062,2018
Illinois,1.14,2018
Indiana,1.143,2018
Iowa,1.093,2018
Kansas,1.1,2018
Kentucky,1.123,2018
Louisiana,1.197,2018
Maine,1.171,2018
Maryland,1.149,2018
Massachusetts,1.123,2018
Michigan,1.116,2018
Minnesota,1.082,2018
Mississippi,1.198,2018
Missouri,1.123,2018
Montana,1.055,2018
Nebraska,1.091,2018
Nevada,1.075,2018
New Hampshire,1.072,2018
New Jersey,1.143,2018
New Mexico,1.106,2018
New York,1.167,2018
North Carolina,1.167,2018
North Dakota,1.048,2018
Ohio,1.131,2018
Oklahoma,1.129,2018
Oregon,1.094,2018
Pennsylvania,1.14,2018
Rhode Island,1.12,2018
South Carolina,1.184,2018
South Dakota,1.018,2018
Tennessee,1.142,2018
Texas,1.127,2018
Utah,1.071,2018
Vermont,1.125,2018
Virginia,1.106,2018
Washington,1.065,2018
West Virginia,1.071,2018
Wisconsin,1.112,2018
Wyoming,0.996,2018
Alabama,1.161,2015
Alaska,0.972,2015
Arizona,1.103,2015
Arkansas,1.129,2015
California,1.104,2015
Colorado,1.079,2015
Connecticut,1.123,2015
Delaware,1.15,2015
Florida,1.135,2015
Georgia,1.176,2015
Hawaii,1.064,2015
Idaho,1.037,2015
Illinois,1.133,2015
Indiana,1.122,2015
Iowa,1.084,2015
Kansas,1.092,2015
Kentucky,1.124,2015
