state_name,sex_ratio,year
Alabama,93.8,2011
Alaska,106.6,2011
Arizona,99.2,2011
Arkansas,97.2,2011
California,99.0,2011
Colorado,100.8,2011
Connecticut,94.9,2011
Delaware,94.2,2011
Florida,95.7,2011
Georgia,96.1,2011
Hawaii,100.3,2011
Idaho,100.6,2011
Illinois,96.2,2011
Indiana,96.9,2011
Iowa,97.6,2011
Kansas,98.3,2011
Kentucky,96.3,2011
Louisiana,95.6,2011
Maine,96.2,2011
Maryland,93.8,2011
Massachusetts,93.8,2011
Michigan,96.4,2011
Minnesota,98.8,2011
Mississippi,94.4,2011
Missouri,96.1,2011
Montana,100.5,2011
Nebraska,98.1,2011
Nevada,101.6,2011
New Hampshire,97.6,2011
New Jersey,95.0,2011
New Mexico,99.1,2011
New York,94.1,2011
North Carolina,94.4,2011
North Dakota,101.2,2011
Ohio,95.6,2011
Oklahoma,98.1,2011
Oregon,97.8,2011
Pennsylvania,95.3,2011
Rhode Island,93.6,2011
South Carolina,94.6,2011
South Dakota,99.3,2011
Tennessee,95.0,2011
Texas,98.5,2011
Utah,101.3,2011
Vermont,97.0,2011
Virginia,96.6,2011
Washington,99.6,2011
West Virginia,97.2,2011
Wisconsin,98.6,2011
Wyoming,103.8,2011
Alabama,94.0,2012
Alaska,108.8,2012
Arizona,99.0,2012
Arkansas,96.6,2012
California,98.9,2012
Colorado,100.6,2012
Connecticut,95.1,2012
Delaware,94.1,2012
Florida,95.6,2012
Georgia,95.7,2012
Hawaii,101.5,2012
Idaho,100.2,2012
Illinois,96.3,2012
Indiana,96.9,2012
Iowa,98.3,2012
Kansas,98.9,2012
Kentucky,96.8,2012
Louisiana,95.6,2012
Maine,95.9,2012
Maryland,93.9,2012
Massachusetts,94.0,2012
Michigan,96.4,2012
Minnesota,98.6,2012
Mississippi,93.5,2012
Missouri,96.3,2012
Montana,100.4,2012
Nebraska,99.0,2012
Nevada,101.8,2012
New Hampshire,96.4,2012
New Jersey,95.1,2012
New Mexico,98.5,2012
New York,94.1,2012
North Carolina,95.0,2012
North Dakota,104.5,2012
Ohio,95.6,2012
Oklahoma,98.2,2012
Oregon,98.3,2012
Pennsylvania,95.3,2012
Rhode Island,93.3,2012
South Carolina,94.6,2012
South Dakota,100.5,2012
Tennessee,95.0,2012
Texas,98.7,2012
Utah,101.0,2012
Vermont,97.6,2012
Virginia,96.3,2012
Washington,99.6,2012
West Virginia,96.6,2012
Wisconsin,98.6,2012
Wyoming,103.2,2012
Alabama,94.0,2013
Alaska,110.8,2013
Arizona,99.1,2013
Arkansas,97.6,2013
California,99.0,2013
Colorado,100.9,2013
Connecticut,95.0,2013
Delaware,93.7,2013
Florida,95.8,2013
Georgia,95.4,2013
Hawaii,102.6,2013
